Unique_Identifier,Painting_Title,Painting_Title_Capitals,Clean_Title
TWW0000007158,Rheims,Rheims,Rheims
TWW0000007159,"Grey Day, Venice","Grey Day, Venice",Grey Day Venice
TWW0000007160,"Venetian days, Sunday Morning",Venetian Sunday Morning,Venetian Sunday Morning
TWW0000007161,"Old Moorish Well, Alhambra","Old Moorish Well, Alhambra",Old Moorish Well Alhambra
TWW0000007162,Greenock,Greenock,Greenock
TWW0000007163,"Custom House, Greenock from the East","Custom House, Greenock East",Custom House Greenock East
TWW0000007164,"The Custom House, Greenock","The Custom House, Greenock",Custom House Greenock
TWW0000007165,"The Old Tontine Hotel, Cathcart Street, Greenock","The Old Tontine Hotel, Cathcart Street, Greenock",Old Tontine Hotel Cathcart Street Greenock
TWW0000007166,"Cardwell Bay, Gourock","Cardwell Bay, Gourock",Cardwell Bay Gourock
TWW0000007167,"Old Mid Quay, Greenock","Old Mid Quay, Greenock",Old Mid Quay Greenock
TWW0000007168,"A View on the Clyde from the High Road above Kilpatrick, Evening","A View Clyde High Road Kilpatrick, Evening",Clyde High Road Kilpatrick Evening
TWW0000007477,La Recherche and l'Espérance,La Recherche,La Recherche
TWW0000007478,Le Bien-Aimé,Le Bien-Aimé,Le Bien Aimé
TWW0000007479,"Naked Men's Dance on Campbell Island, New Zealand","Naked Men's Dance Campbell Island, New Zealand",Naked Men's Dance Campbell Island New Zealand
TWW0000007480,"Dances Performed in Agana, called Dance of Ancients, Isle of Guam","Dances Performed Agana, Dance Ancients, Isle Guam",Dances Performed Agana Dance Ancients Isle Guam
TWW0000007481,"Humata Harbour, Mariana Islands","Humata Harbour, Mariana Islands",Humata Harbour Mariana Islands
TWW0000007482,"Domestic Activities in Coupang, Timor Island","Domestic Activities Coupang, Timor Island",Domestic Activities Coupang Timor Island
TWW0000007483,"King of Guebe Island's Boat, Pisang Island in Background","King Guebe Island's Boat, Pisang Island Background",Guebe Island's Boat Pisang Island Background
TWW0000007484,"Catholic Baptism of Kalanimoku, the King of Hawaii's Prime Minister, on Board the French Ship Uranie","Catholic Baptism Kalanimoku, King Hawaii's Prime Minister, Board French Ship Uranie",Catholic Baptism Kalanimoku Hawaii's Prime Minister Board French Ship Uranie
TWW0000007485,Nagasaki,Nagasaki,Nagasaki
TWW0000007486,View of the gardens of Château de Malmaison,View Château Malmaison,Château Malmaison
TWW0000007487,"Cow stables in Saint Cucufat, at Château de Malmaison","Cow Saint Cucufat, Château Malmaison",Cow Saint Cucufat Château Malmaison
TWW0000007488,Sheep stables in the woods on the edge of the park of Château de Malmaison,Sheep Château Malmaison,Sheep Château Malmaison
TWW0000007489,Tour de la Chaîne et barques de pêche,Tour Chaîne,Tour Chaîne
TWW0000007490,Défilé: Combat de Grecs et de Turcs,Défilé: Combat Grecs Turcs,Défilé Combat Grecs Turcs
TWW0000000659,Prospect of the Bay of Tangier from the south-east,Prospect Bay Tangier,Prospect Bay Tangier
TWW0000000660,The Fou-yen of Canton,The Fou-yen Canton,Fou yen Canton
TWW0000000661,Keats' Grave in the Old Protestant Cemetery in Rome,Keats' Grave Old Protestant Cemetery Rome,Keats' Grave Old Protestant Cemetery Rome
TWW0000000662,"The Sleeping City: the Cemetery of Pera, Constantinople","The Sleeping City: Cemetery Pera, Constantinople",Sleeping City Cemetery Pera Constantinople
TWW0000000663,Iffley Mill,Iffley Mill,Iffley Mill
TWW0000000664,View of Oxford from Headington,View Oxford Headington,Oxford Headington
TWW0000000665,Stonehenge - A Showery Day,Stonehenge - A Showery Day,Stonehenge Showery Day
TWW0000000666,View of Oxford from the River,View Oxford River,Oxford River
TWW0000000667,Stonehenge: Stormy Day,Stonehenge: Stormy Day,Stonehenge Stormy Day
TWW0000000669,At Mercer on the Waikato,At Mercer Waikato,Mercer Waikato
TWW0000000670,Albany School house,Albany School,Albany School
TWW0000000671,"View of lower wharf and homestead, Lucas Creek, from Albany Bridge","View Lucas Creek, Albany Bridge",Lucas Creek Albany Bridge
TWW0000000672,"View of Deep Creek (Torbay), Northern end","View Deep Creek (Torbay), Northern",Deep Creek Torbay Northern
TWW0000025590,"Avon Gorge, Bristol","Avon Gorge, Bristol",Avon Gorge Bristol
TWW0000025594,On the Lake at Brienz,On Lake Brienz,On Lake Brienz
TWW0000025597,Le Havre,Le Havre,Le Havre
TWW0000025598,Schloss Rutsen,Schloss Rutsen,Schloss Rutsen
TWW0000006987,"Braubach, West Germany","Braubach, West Germany",Braubach West Germany
TWW0000006988,Bruges,Bruges,Bruges
TWW0000006989,The Cathedral Market,The Cathedral Market,Cathedral Market
TWW0000006990,Venice,Venice,Venice
TWW0000006991,Portrait of a man called William Pitt,Portrait William Pitt,William Pitt
TWW0000006992,Coast Scene at Iona,Coast Scene Iona,Coast Iona
TWW0000006993,"Concert Hall, Manchester","Concert Hall, Manchester",Concert Hall Manchester
TWW0000006994,Landscape with River and Meadow,Landscape River Meadow,River Meadow
TWW0000006995,"St. Agatha's Abbey, Richmond, Yorkshire","St. Agatha's Abbey, Richmond, Yorkshire",St Agatha's Abbey Richmond Yorkshire
TWW0000006996,Landscape with Man Fishing,Landscape Man Fishing,
TWW0000006997,Portsmouth Harbour,Portsmouth Harbour,Portsmouth Harbour
TWW0000006998,Cambridge from the Ely Road,Cambridge Ely Road,Cambridge Ely Road
TWW0000006999,The Old Manchester Exchange,The Old Manchester Exchange,Old Manchester Exchange
TWW0000007000,The Royal Manchester Institution,The Royal Manchester Institution,Royal Manchester Institution
TWW0000008457,"The Pool, Bristol","The Pool, Bristol",Pool Bristol
TWW0000008458,Tingle Bridge on River Tavy in Devon,Tingle Bridge River Tavy Devon,Tingle Bridge River Tavy Devon
TWW0000008459,Broughton Spout,Broughton Spout,Broughton Spout
TWW0000008460,Chepstow Castle,Chepstow Castle,Chepstow Castle
TWW0000008461,"The Seine, Pont de L'Arche","The Seine, Pont L'Arche",Seine Pont L'Arche
TWW0000008462,Newport from Christchurch,Newport Christchurch,Newport Christchurch
TWW0000008463,"Sketch up in the Gwastad, Monmouthshire","Sketch Gwastad, Monmouthshire",Gwastad Monmouthshire
TWW0000008464,"Twilight, Mendip Hills","Twilight, Mendip Hills",Twilight Mendip Hills
TWW0000008465,Zurich; Child's Harold Pilgrimage,Zurich; Child's Harold Pilgrimage,Zurich Child's Harold Pilgrimage
TWW0000008466,"Antiquated Chestnut Tree, Tredegar Park, Newport","Antiquated Chestnut Tree, Tredegar Park, Newport",Antiquated Chestnut Tree Tredegar Park Newport
TWW0000008467,Raglan Castle; Terrace from the Moat,Raglan Castle; Terrace Moat,Raglan Castle Terrace Moat
TWW0000008468,French Port,French Port,French Port
TWW0000008469,"River Scene at St. Erith, Cornwall","River Scene St. Erith, Cornwall",River St Erith Cornwall
TWW0000008470,"Ford's Alms Houses, Coventry","Ford's Alms Houses, Coventry",Ford's Alms Houses Coventry
TWW0000026946,Naval Brigade Camp,Naval Brigade Camp,Naval Brigade Camp
TWW0000026947,Sevastopol Harbour and Remains of Russian Fleet,Sevastopol Harbour Remains Russian Fleet,Sevastopol Harbour Remains Russian Fleet
TWW0000026948,General View of Sevastopol and North Forts etc from Front of Gordons on 21st Gun Battery,General View Sevastopol North Forts Front Gordons 21st Gun Battery,General Sevastopol North Forts Gordons 21st Gun Battery
TWW0000026949,"Valley of Shadow of Death, Sevastopol","Valley Shadow Death, Sevastopol",Valley Shadow Death Sevastopol
TWW0000026950,View from Victoria Redoubt,View Victoria Redoubt,Victoria Redoubt
TWW0000026951,Sketched from French Cricket House,Sketched French Cricket House,Sketched French Cricket House
TWW0000026952,Part of view of town of Sevastopol and fleets of the allies taken from Greenhill Battery (batty),Part Sevastopol Greenhill Battery (batty),Sevastopol Greenhill Battery batty
TWW0000026953,Monastary of St George near Balaklava,Monastary St George Balaklava,Monastary St George Balaklava
TWW0000026954,Sketched from H.M.S Queen outside Sevastopol,Sketched Queen Sevastopol,Sketched Queen Sevastopol
TWW0000026955,Entrance to the Black Sea from the Bosporos sketched from Giants Mountain,Entrance Black Sea Bosporos Giants Mountain,Black Sea Bosporos Giants Mountain
TWW0000026956,Scene at Sinope - Wreck of the Egyptian brigade,Scene Sinope - Wreck Egyptian,Sinope Wreck Egyptian
TWW0000026957,Sinope Bay and combined fleets,Sinope Bay,Sinope Bay
TWW0000026959,Cathcart's Hill,Cathcart's Hill,Cathcart's Hill
TWW0000026877,View of Bristol,View Bristol,Bristol
TWW0000026878,View of Bristol,View Bristol,Bristol
TWW0000026879,View of Bristol,View Bristol,Bristol
TWW0000026884,Port of Maurice,Port Maurice,Port Maurice
TWW0000026885,"Ponte Lugano, and Tomb of the Plautia Family","Ponte Lugano, Tomb Plautia Family",Ponte Lugano Tomb Plautia Family
TWW0000026886,Tomb of Virgil,Tomb Virgil,Tomb Virgil
TWW0000026888,Derwent Hall,Derwent Hall,Derwent Hall
TWW0000009437,The Mosque of Sultan al-Ashraf Qa'it Bay,The Mosque Sultan Qa'it Bay,Mosque Sultan Qa'it Bay
TWW0000009438,View of the Madrassa of Qanibey Emir Akhur and the Mosque of Ibrahim Aga,View Madrassa Qanibey Emir Akhur Mosque Ibrahim Aga,Madrassa Qanibey Emir Akhur Mosque Ibrahim Aga
TWW0000009439,View of the Mosque of Ahmad ibn Tulun,View Mosque Ahmad Tulun,Mosque Ahmad Tulun
TWW0000009440,View of the Mosque of Amr ibn al-As,View Mosque Amr,Mosque Amr
TWW0000009441,View of the Sultan al-Mansur ibn Qala'um Mosque,View Sultan Qala'um Mosque,Sultan Qala'um Mosque
TWW0000009442,Landscape in Java,Landscape Java,Java
TWW0000009443,Music on the Water,Music Water,Music Water
TWW0000009444,The Festival of Holi being celebrated in a courtyard,The Festival Holi,Festival Holi
TWW0000009445,Tirailleur,Tirailleur,Tirailleur
TWW0000009446,View of a ferry house at the Grand Pass near Colombo,View Grand Pass Colombo,Grand Pass Colombo
TWW0000009447,"Pingzi Men, the west gate of Beijing","Pingzi Men, Beijing",Pingzi Men Beijing
TWW0000009448,Celebrating Durga Puja at a wealthy household in Calcutta,Celebrating Durga Puja Calcutta,Celebrating Durga Puja Calcutta
TWW0000025418,Ludlow Castle,Ludlow Castle,Ludlow Castle
TWW0000007239,"Shaw's Water Cut, Greenock","Shaw's Water Cut, Greenock",Shaw's Water Cut Greenock
TWW0000007240,Ploughing in Strathearn,Ploughing Strathearn,Ploughing Strathearn
TWW0000007241,On the Sunny Shore,On Sunny Shore,On Sunny Shore
TWW0000007242,Figure Study with Lute,Figure Study Lute,Figure Lute
TWW0000007243,Study Among the Arran Hills,Study Among Arran Hills,Among Arran Hills
TWW0000007244,"Faslane, Garelochhead","Faslane, Garelochhead",Faslane Garelochhead
TWW0000007245,"The Fish Market, Bruges","The Fish Market, Bruges",Fish Market Bruges
TWW0000007246,A Dutch Canal,A Dutch Canal,Dutch Canal
TWW0000007247,"Coldingham, Berwickshire","Coldingham, Berwickshire",Coldingham Berwickshire
TWW0000007248,Newark Castle,Newark Castle,Newark Castle
TWW0000007249,"A Wet Day, Kensdale","A Wet Day, Kensdale",Wet Day Kensdale
TWW0000007250,"Fast Castle, Wolf's Crag","Fast Castle, Wolf's Crag",Fast Castle Wolf's Crag
TWW0000007251,Street Scene in Normandy,Street Scene Normandy,Street Normandy
TWW0000007252,"Sailing Barges, Antwerp","Sailing Barges, Antwerp",Sailing Barges Antwerp
TWW0000007995,"Briton Ferry, Glamorganshire","Briton Ferry, Glamorganshire",Briton Ferry Glamorganshire
TWW0000007996,Farmyard at Compton,Farmyard Compton,Farmyard Compton
TWW0000007997,Lowther Church and River,Lowther Church River,Lowther Church River
TWW0000007998,Study of two women in a doorway. From: An 1876 sketchbook,Study From: An,
TWW0000007999,At Cheshunt,At Cheshunt,Cheshunt
TWW0000008000,Gathering seaweed,Gathering,Gathering
TWW0000008001,Marine,Marine,Marine
TWW0000008002,Harbour at Sunset,Harbour Sunset,Harbour
TWW0000008003,Lake of Como,Lake Como,Lake Como
TWW0000008004,Trees with distant Landscape,Trees Landscape,
TWW0000008005,Cumberland,Cumberland,Cumberland
TWW0000008006,"St. Peter's Church, Warwick","St. Peter's Church, Warwick",St Peter's Church Warwick
TWW0000008007,Tauranga Harbour and Camp at 64th & 43rd Regiments,Tauranga Harbour Camp 64th & 43rd Regiments,Tauranga Harbour Camp 64th & 43rd Regiments
TWW0000008008,Sea shore,Sea,Sea
TWW0000009801,Het Colosseum te Rome,Het Colosseum Rome,Het Colosseum Rome
TWW0000009802,Bomen in de omgeving van Subiaco,Bomen Subiaco,Bomen Subiaco
TWW0000009803,Landschap bij Genzano di Roma,Landschap Genzano Roma,Landschap Genzano Roma
TWW0000009804,Der Eingang in den Seehaven zu Marseille,Der Eingang Seehaven Marseille,Der Eingang Seehaven Marseille
TWW0000009805,Gezicht op het stadhuis en de Nieuwe Hollandse Kerk te Batavia,Gezicht Nieuwe Hollandse Kerk Batavia,Nieuwe Hollandse Kerk Batavia
TWW0000009806,Tuin van de heremitage te Nantes,Tuin Nantes,Tuin Nantes
TWW0000009809,Gezicht op vuurtoren bij havenhoofd te Napels,Gezicht Napels,Napels
TWW0000009810,"Havenhoofd van Napels, gezien vanaf de voet van de vuurtoren","Havenhoofd Napels,",Havenhoofd Napels
TWW0000009811,Wasvrouwen van Chiaja te Napels,Wasvrouwen Chiaja Napels,Wasvrouwen Chiaja Napels
TWW0000009812,View of the Mountains,View Mountains,Mountains
TWW0000009813,Interieur van grot Santa Maria Capella,Interieur Santa Maria Capella,Interieur Santa Maria Capella
TWW0000009814,Gezicht op Golf van Napels vanaf kade bij kerk Santa Maria del Carmine,Gezicht Golf Napels Santa Maria Carmine,Golf Napels Santa Maria Carmine
TWW0000003137,Coleorton,Coleorton,Coleorton
TWW0000003138,Coleorton,Coleorton,Coleorton
TWW0000003139,Coleorton,Coleorton,Coleorton
TWW0000003140,Coleorton,Coleorton,Coleorton
TWW0000003141,Guy's Cliff [sic],Guy's Cliff [sic],Guy's Cliff
TWW0000003142,"Guy's Tower, Warwick Castle","Guy's Tower, Warwick Castle",Guy's Tower Warwick Castle
TWW0000003143,Guy's Cliff [sic],Guy's Cliff [sic],Guy's Cliff
TWW0000003144,Gaveston's Cross,Gaveston's Cross,Gaveston's Cross
TWW0000003145,Entrance Gate Guy's Cliffe,Entrance Gate Guy's Cliffe,Gate Guy's Cliffe
TWW0000003146,Guy's Cliffe [sic],Guy's Cliffe [sic],Guy's Cliffe
TWW0000003147,Batsford,Batsford,Batsford
TWW0000003148,Batsford,Batsford,Batsford
TWW0000003149,Scotts Bridge,Scotts Bridge,Scotts Bridge
TWW0000003150,Scotts Bridge,Scotts Bridge,Scotts Bridge
TWW0000007925,Upper Hutt Valley,Upper Hutt Valley,Upper Hutt Valley
TWW0000007926,Otira Gorge Road,Otira Gorge Road,Otira Gorge Road
TWW0000007927,Wairarapa Lake,Wairarapa Lake,Wairarapa Lake
TWW0000007928,Horokiwi Road looking down to Paekakariki,Horokiwi Road Paekakariki,Horokiwi Road Paekakariki
TWW0000007929,Lindis Pass,Lindis Pass,Lindis Pass
TWW0000007930,Maori war canoe approaching Taranaki,Maori Taranaki,Maori Taranaki
TWW0000007931,"Mataura Gorge, Southland","Mataura Gorge, Southland",Mataura Gorge Southland
TWW0000007932,The Mataura River and the Waimea Plains from Mr McNeill's station,The Mataura River Waimea Plains Mr McNeill's,Mataura River Waimea Plains McNeill's
TWW0000007933,"Rangitikei from Westoe, W. Fox Esq's Station","Rangitikei Westoe, Fox Esq's Station",Rangitikei Westoe Fox Esq's Station
TWW0000007934,Crossing the Teremakau River,Crossing Teremakau River,Crossing Teremakau River
TWW0000007935,Station Benmore near Porters Pass,Station Benmore Porters Pass,Station Benmore Porters Pass
TWW0000007936,"Bennell's Store, Lake Wakatipu","Bennell's Store, Lake Wakatipu",Bennell's Store Lake Wakatipu
TWW0000007937,Kapiti,Kapiti,Kapiti
TWW0000007938,"Middle Fiord, Te Anau Lake","Middle Fiord, Te Anau Lake",Middle Fiord Te Anau Lake
TWW0000008331,Harlech Castle,Harlech Castle,Harlech Castle
TWW0000008332,"Pont des Arts, Paris","Pont Arts, Paris",Pont Arts Paris
TWW0000008333,Tower of London,Tower London,Tower London
TWW0000008334,SS John Marychurch of Newport,John Marychurch Newport,John Marychurch Newport
TWW0000008335,"Aberbrothick Abbey, Angus","Aberbrothick Abbey, Angus",Aberbrothick Abbey Angus
TWW0000008336,Zante,Zante,Zante
TWW0000008337,East Ashling,East Ashling,East Ashling
TWW0000008338,Venice,Venice,Venice
TWW0000008339,Newport Castle,Newport Castle,Newport Castle
TWW0000008340,Caldicot Castle,Caldicot Castle,Caldicot Castle
TWW0000008341,Newport on the Usk,Newport Usk,Newport Usk
TWW0000008342,Snow at Allt-yr-yn,Snow Allt-yr-yn,Snow Allt yr yn
TWW0000008344,Camel at Luxor,Camel Luxor,Camel Luxor
TWW0000006161,"Lambeth Fair, Fore Street, Lambeth","Lambeth Fair, Fore Street, Lambeth",Lambeth Fair Fore Street Lambeth
TWW0000006162,"Lambeth Turnpike, Westminster Bridge Road, Lambeth","Lambeth Turnpike, Westminster Bridge Road, Lambeth",Lambeth Turnpike Westminster Bridge Road Lambeth
TWW0000006163,"Old Kennington Green, Kennington","Old Kennington Green, Kennington",Old Kennington Green Kennington
TWW0000006164,"Old Houses, Kennington Road, Kennington","Old Houses, Kennington Road, Kennington",Old Houses Kennington Road Kennington
TWW0000006165,"Cricket Match, Kennington Oval","Cricket Match, Kennington Oval",Cricket Match Kennington Oval
TWW0000006166,Old Houses at Vauxhall opposite Burnett's,Old Houses Vauxhall Burnett's,Old Houses Vauxhall Burnett's
TWW0000006167,"Loughborough House, Loughborough Road, Brixton North","Loughborough House, Loughborough Road, Brixton North",Loughborough House Loughborough Road Brixton North
TWW0000006168,"Prison, Lollards Tower, Lambeth Palace","Prison, Lollards Tower, Lambeth Palace",Prison Lollards Tower Lambeth Palace
TWW0000006169,"Thrale Place, Streatham Park, Streatham Central","Thrale Place, Streatham Park, Streatham Central",Thrale Place Streatham Park Streatham Central
TWW0000006170,Given to the Master of the Lambeth Workhouse where the artist was an inmate,Given Master Lambeth Workhouse,Given Master Lambeth Workhouse
TWW0000006171,"Lambeth Palace, Lambeth","Lambeth Palace, Lambeth",Lambeth Palace Lambeth
TWW0000006172,In my Garden,In Garden,Garden
TWW0000006173,"Bridge House, Lambeth Road, Lambeth","Bridge House, Lambeth Road, Lambeth",Bridge House Lambeth Road Lambeth
TWW0000006174,"Bishop's Walk, Lambeth","Bishop's Walk, Lambeth",Bishop's Walk Lambeth
TWW0000001205,Farm Buildings at the Edge of a Mustard Field,Farm Buildings Edge Mustard Field,Farm Buildings Edge Mustard Field
TWW0000001206,"Cookham Dean, Winter","Cookham Dean, Winter",Cookham Dean Winter
TWW0000001207,"View of San Giorgio, Venice","View San Giorgio, Venice",San Giorgio Venice
TWW0000001208,"Farmhouse at Widdington, with Barns","Farmhouse Widdington, Barns",Farmhouse Widdington Barns
TWW0000001209,"Entrance to Village, Widdington","Entrance Village, Widdington",Village Widdington
TWW0000001210,St. Philip's Ferry,St. Philip's Ferry,St Philip's Ferry
TWW0000001211,View of Pill,View Pill,Pill
TWW0000001212,"Windmill Hill, Clifton, Looking Towards Leigh Woods","Windmill Hill, Clifton, Looking Towards Leigh Woods",Windmill Hill Clifton Leigh Woods
TWW0000001213,View of Ashton Court,View Ashton Court,Ashton Court
TWW0000001214,"Cow Castle, or Simonsbath, Ancient Fortifications on Exmoor","Cow Castle, Simonsbath, Ancient Fortifications Exmoor",Cow Castle Simonsbath Ancient Fortifications Exmoor
TWW0000001215,"Interior of a Flour Mill, Stapleton","Interior Flour Mill, Stapleton",Flour Mill Stapleton
TWW0000001216,Leigh Woods at the Top of Dark Valley After a Fall of Rocks,Leigh Woods Top Dark Valley After Fall Rocks,Leigh Woods Top Dark Valley After Fall Rocks
TWW0000001217,Leigh Woods at the Top of Dark Valley,Leigh Woods Top Dark Valley,Leigh Woods Top Dark Valley
TWW0000001218,Leigh Woods Seen From the Bank,Leigh Woods Seen From Bank,Leigh Woods Seen Bank
TWW0000001723,Old Hotwell House,Old Hotwell House,Old Hotwell House
TWW0000001724,The Mouth of the River Avon from Kingsweston Hill,The Mouth River Avon Kingsweston Hill,Mouth River Avon Kingsweston Hill
TWW0000001725,"The Avon, Near Hotwells","The Avon, Near Hotwells",Avon Hotwells
