Unique_Identifier,Collection_Name,ISO_Code,Painting_Title,Painting_Description,Date_Painted_Start,Date_Painted_End,Artist_Name_INPUT,Artist_Dates_INPUT,Category,Tags,Painting_Title_Capitals
TWW0000000287,Abbot Hall Art Gallery,ENG,Piers Gill,,1894,1894,William Gershom Collingwood,1854-1932,Landscapes & Seascapes,"mountains,hills",Piers Gill
TWW0000000288,Abbot Hall Art Gallery,ENG,Two Watercolours,,1894,1894,William Gershom Collingwood,1854-1932,Landscapes & Seascapes,"mountains,hills",Two Watercolours
TWW0000000289,Abbot Hall Art Gallery,ENG,Chamonix,,1854,1932,William Gershom Collingwood,1854-1932,Landscapes & Seascapes,"mountains,hills",Chamonix
TWW0000000290,Abbot Hall Art Gallery,ENG,"Zell-Am-See, Full Moon",,1900,1900,William Gershom Collingwood,1854-1932,Landscapes & Seascapes,"mountains,hills,lakes","Zell-Am-See, Full Moon"
TWW0000000291,Abbot Hall Art Gallery,ENG,Grossglockner Group from Schmittenhohe,,1900,1900,William Gershom Collingwood,1854-1932,Landscapes & Seascapes,"mountains,hills",Grossglockner Group Schmittenhohe
TWW0000000292,Abbot Hall Art Gallery,ENG,"Hrutsstadir, Hamastador, Hordadalr & Hvammefjord",,1897,1897,William Gershom Collingwood,1854-1932,Landscapes & Seascapes,"mountains,hills,valleys,coasts","Hrutsstadir, Hamastador, Hordadalr & Hvammefjord"
TWW0000000293,Abbot Hall Art Gallery,ENG,"""Thingmount"", Fellfoot, Little Langdale",,1854,1932,William Gershom Collingwood,1854-1932,Landscapes & Seascapes,"mountains,hills,trees,farms","""Thingmount"", Fellfoot, Little Langdale"
TWW0000000294,Abbot Hall Art Gallery,ENG,Laatefos,,1854,1932,William Gershom Collingwood,1854-1932,Landscapes & Seascapes,"mountains,hills,valleys,rivers",Laatefos
TWW0000002213,Carisbrooke Castle Museum,ENG,"Hare and Hounds Inn, St. James' Square, Newport","A watercolour by Fanny Minns from a photograph of the old Hare and Hounds, Newport which was removed to build the corn exchange in 1890.",1880,1910,Fanny Mary Minns,1847-1929,Buildings & Architecture,"pubs,roads,public spaces","Hare Hounds Inn, St. James' Square, Newport"
TWW0000002214,Carisbrooke Castle Museum,ENG,"Pan Down, near Newport","A watercolour of Pan Down, Newport by Fanny Minns.",1880,1910,Fanny Mary Minns,1847-1929,Landscapes & Seascapes,"fields,roads","Pan Down, Newport"
TWW0000002215,Carisbrooke Castle Museum,ENG,Shide Hill House,"Watercolour of Shide Hill House painted by Minns, F. between 1880 and 1910.",1880,1910,Fanny Mary Minns,1847-1929,Landscapes & Seascapes,"hills,residential buildings",Shide Hill House
TWW0000002216,Carisbrooke Castle Museum,ENG,"Coast near Melton, Isle of Wight","A watercolour of a beach with cottages and boats titled ""Coast near Melton, Isle of Wight"" 1864.",1864,1864,George James Knox,1810-1897,Landscapes & Seascapes,"coasts,islands,beaches,boats,cottages","Coast Melton, Isle Wight"
TWW0000002217,Carisbrooke Castle Museum,ENG,Shanklin Village,"A watercolour of Shanklin village showing the Crab Inn, Library and House Agent 1873 by Miss Helen S. Tatham (1848-1892).",1873,1873,Helen Sophia Tatham,1848-1892,Buildings & Architecture,"villages,pubs,roads,residential buildings",Shanklin Village
TWW0000002218,Carisbrooke Castle Museum,ENG,"Undercliffe, Isle of Wight",A watercolour of the beach at Bonchurch and showing the cottages at the foot of the cliff with figures by J. Rhodes.,1801,1900,John Nicholas Rhodes,1809-1842,Landscapes & Seascapes,"islands,coasts,boats,cliffs,buildings,architecture","Undercliffe, Isle Wight"
TWW0000002219,Carisbrooke Castle Museum,ENG,Carisbrooke Village,"A painting of Carisbrooke with the church to the right and showing the castle entrance to left with the downs in the background, 1790-1810, by John Nixon.",1790,1810,John Nixon,c.1750-1818,Buildings & Architecture,"villages,hills,religious buildings,mammals,cows,fields",Carisbrooke Village
TWW0000002220,Carisbrooke Castle Museum,ENG,Obelisk erected to the memory of Sir Robert Worsley,A watercolour of Appuldurcombe Park with Gat Cliff and Obelisk on down beyond 1800 by John Nixon.,1800,1800,John Nixon,c.1750-1818,Buildings & Architecture,"monuments,hills",Obelisk Sir Robert Worsley
TWW0000002221,Carisbrooke Castle Museum,ENG,Free School,A watercolour showing the Old King James Grammar School at Newport 1806 by John Nixon.,1806,1806,John Nixon,c.1750-1818,Buildings & Architecture,educational buildings,Free School
TWW0000002222,Carisbrooke Castle Museum,ENG,Norris Castle,A watercolour of Norris Castle with the Solent and Calshot Castle in the background 1800 by John Nixon.,1800,1800,John Nixon,c.1750-1818,Buildings & Architecture,"castles,coasts",Norris Castle
TWW0000002223,Carisbrooke Castle Museum,ENG,Lighthouse near the Needles,A watercolour of the 18th century lighthouse on the western tip of Highdown above the Needles 1800 by John Nixon.,1800,1800,John Nixon,c.1750-1818,Buildings & Architecture,"lighthouses,towers,coasts",Lighthouse Needles
TWW0000002224,Carisbrooke Castle Museum,ENG,West Cowes,A watercolour of Cowes looking across the Medina to East Cowes 1800 by John Nixon.,1800,1800,John Nixon,c.1750-1818,Buildings & Architecture,"townscapes,castles,ports,ships",West Cowes
TWW0000002225,Carisbrooke Castle Museum,ENG,West Cowes,A watercolour of Cowes seen from across the Medina at East Cowes 1800 by John Nixon.,1800,1800,John Nixon,c.1750-1818,Buildings & Architecture,"townscapes,people,religious buildings,ports",West Cowes
TWW0000002226,Carisbrooke Castle Museum,ENG,The Keep at Carisbrooke Castle,A watercolour of the Keep at Carisbrooke Castle 1800 by John Nixon.,1800,1800,John Nixon,c.1750-1818,Buildings & Architecture,"castles,ruins,cottages",The Keep Carisbrooke Castle
TWW0000007071,Manchester Art Gallery,ENG,"The Campanile, Venice",,1840,1840,W. L. Appleton,,Buildings & Architecture,"town squares,people,towers,palaces,public spaces","The Campanile, Venice"
TWW0000007072,Manchester Art Gallery,ENG,A Mountain View,,1850,1850,W. L. Appleton,,Landscapes & Seascapes,"mountains,snow,hills,trees",A Mountain View
TWW0000007073,Manchester Art Gallery,ENG,Baron Nelson of the Nile,,1798,1798,W. L. Appleton,,People & Society,"portraits,people,naval",Baron Nelson Nile
TWW0000007074,Manchester Art Gallery,ENG,Landscape by Moonlight,,1889,1889,W. L. Appleton,,Landscapes & Seascapes,landscapes,Landscape Moonlight
TWW0000007075,Manchester Art Gallery,ENG,"Back of Old Houses, Chapel Street, Salford",Rear view of houses.,1893,1893,W. Sharp Ogden,,Buildings & Architecture,"residential buildings,roads,cityscapes","Back Old Houses, Chapel Street, Salford"
TWW0000007076,Manchester Art Gallery,ENG,"Gate House, Chetham's College, Manchester","A view looking at a stone building. In the centre is an arched entrance. In front of the building, on the left and right are wooden benches to sit on.",1893,1893,W. Sharp Ogden,,Buildings & Architecture,"residential buildings,roads,educational buildings","Gate House, Chetham's College, Manchester"
TWW0000007077,Manchester Art Gallery,ENG,"The Boy's Dormitory, Chetham's College, Manchester",A room with a high beamed ceiling. The walls are made of stone. The room is 'L' shaped. Single beds are lined up against the walls.,1894,1894,W. Sharp Ogden,,Buildings & Architecture,"educational buildings,interiors","The Boy's Dormitory, Chetham's College, Manchester"
TWW0000007078,Manchester Art Gallery,ENG,Wythenshawe Hall,,1843,1843,Walter,,Buildings & Architecture,"trees,landscapes",Wythenshawe Hall
TWW0000007079,Manchester Art Gallery,ENG,"Drawing Room, Bramhall, Cheshire",,1841,1841,Unknown Artist,,Buildings & Architecture,"arts,buildings,people,parks,hills","Drawing Room, Bramhall, Cheshire"
TWW0000007080,Manchester Art Gallery,ENG,Paris by Night,,1884,1884,Walter Greaves,1846-1930,People & Society,"people,portraits",Paris Night
TWW0000007081,Manchester Art Gallery,ENG,"Façade of St. Mark's, Venice",,1896,1896,Walter Richard Sickert,1860-1942,Buildings & Architecture,religious buildings,"Façade St. Mark's, Venice"
TWW0000007082,Manchester Art Gallery,ENG,"The Handcart, Rue St. Jean, Dieppe",,1900,1900,Walter Richard Sickert,1860-1942,Buildings & Architecture,"roads,townscapes,town squares","The Handcart, Rue St. Jean, Dieppe"
TWW0000007083,Manchester Art Gallery,ENG,Cottage Exterior with Seated Figures,,1795,1795,William Alexander,1767-1816,Buildings & Architecture,"cottages,people",Cottage Exterior Seated Figures
TWW0000007084,Manchester Art Gallery,ENG,Pont du Nîmes,,1835,1835,William Barnard,1806-1889,Buildings & Architecture,"aqueducts,trees,streams,people",Pont Nîmes
TWW0000001023,Bourne Gallery,ENG,"A View of Taormina and Mount Etna, Sicily",,1806,1882,David Powell,c.1806-c.1882,Landscapes & Seascapes,"bays,beaches,ruins,townscapes,volcanoes","A View Taormina Mount Etna, Sicily"
TWW0000001024,Bourne Gallery,ENG,"Tavy Cleave, Dartmoor",,1899,1899,Edmund Morison Wimperis,1835-1900,Landscapes & Seascapes,"hills,valleys,streams","Tavy Cleave, Dartmoor"
TWW0000001025,Bourne Gallery,ENG,A View on the Thames,,1874,1874,Edward Duncan,1803-1882,Buildings & Architecture,"transport,boats,canals,farms",A View Thames
TWW0000001026,Bourne Gallery,ENG,"Making for Port', a west country harbour in squally weather",,1880,1880,English School (19th century),,Landscapes & Seascapes,"hills,bays","Making Port',"
TWW0000001027,Bourne Gallery,ENG,Watching Queen Victoria's Jublilee celebrations outside St. Paul's,,1801,1900,English School (19th century),,Buildings & Architecture,"residential buildings,historical events,festivals,social life,royalty",Watching Queen Victoria's Jublilee St. Paul's
TWW0000001028,Bourne Gallery,ENG,"Pont des Arts, Paris",,1897,1897,Frank Myers Boggs,1855-1926,Buildings & Architecture,"bridges,government buildings,people,social life","Pont Arts, Paris"
TWW0000001029,Bourne Gallery,ENG,Eton College,,1859,1859,George Pyne,1800-1884,Buildings & Architecture,educational buildings,Eton College
TWW0000001030,Bourne Gallery,ENG,Eton College Courtyard,,1859,1859,George Pyne,1800-1884,Buildings & Architecture,"educational buildings,people",Eton College Courtyard
TWW0000001031,Bourne Gallery,ENG,"Fleet Street, London",,1834,1834,George Sidney Shepherd,1784-1862,Buildings & Architecture,"roads,religious buildings,social life,horse-drawn","Fleet Street, London"
TWW0000001032,Bourne Gallery,ENG,"Hay Time near Leith Hill, Dorking, Surrey",,1860,1860,George Vicat Cole,1833-1893,Landscapes & Seascapes,"fields,leisure,agriculture","Hay Time Leith Hill, Dorking, Surrey"
TWW0000001033,Bourne Gallery,ENG,Pitch Hill near Ewhurst,,1866,1866,George Vicat Cole,1833-1893,Landscapes & Seascapes,"hills,agriculture",Pitch Hill Ewhurst
TWW0000001034,Bourne Gallery,ENG,"Arundel Castle from the Deer Park, Sussex",,1884,1884,Harold Sutton Palmer,1854-1933,Landscapes & Seascapes,"hills,fields,valleys","Arundel Castle Deer Park, Sussex"
TWW0000001035,Bourne Gallery,ENG,"Springtime at Crocken Hill, Kent",,1848,1926,Helen Allingham,1848-1926,Landscapes & Seascapes,"farms,trees,domestic life,people","Springtime Crocken Hill, Kent"
TWW0000001036,Bourne Gallery,ENG,"Washing Day at Sandhills, Witley",,1848,1926,Helen Allingham,1848-1926,Landscapes & Seascapes,"farms,buildings,residential buildings,agriculture,domestic life","Washing Day Sandhills, Witley"
TWW0000009815,Rijksmuseum,NLD,Gezicht op Golf van Napels vanaf kade bij kerk Santa Maria del Carmine,"View of the Golf of Naples from the Quay by the Church Santa Maria del Carmine. 

Gezicht op Golf van Napels vanaf kade bij kerk Santa Maria del Carmine, Louis Ducros, 1778.",1778,1778,Louis Ducros,1748-1810,Landscapes & Seascapes,"islands,hills",Gezicht Golf Napels Santa Maria Carmine
TWW0000009816,Rijksmuseum,NLD,Gezicht op eiland Capri vanaf open zee voor zuidkust,"View of the Island of Capri from the open sea on the South Coast. 

Gezicht op eiland Capri vanaf open zee voor zuidkust, Louis Ducros, 1778.",1778,1778,Louis Ducros,1748-1810,Landscapes & Seascapes,"cliffs,coasts",Gezicht Capri
TWW0000009817,Rijksmuseum,NLD,Gezicht op zuidkust van eiland Capri,"View of the South Coast of Capri. 

Number, handgeschreven: â€˜No 298 (bis) Autre vue de l'Ã®le CaprÃ©e du cÃ´tÃ© du Midiâ€™.",1778,1778,Louis Ducros,1748-1810,Landscapes & Seascapes,"cliffs,coasts,hills",Gezicht Capri
TWW0000009818,Rijksmuseum,NLD,Gezicht op westkust Golf van Napels,"View of the West Coast of the Golf of Naples. 

Number, handgeschreven: â€˜No 302B Vue de la cÃ´te Occidentale du Golfe de Naplesâ€™.",1778,1778,Louis Ducros,1748-1810,Landscapes & Seascapes,"cliffs,coasts,hills,cityscapes,bays",Gezicht Golf Napels
TWW0000009819,Rijksmuseum,NLD,Vesuvius gezien vanaf Portici met lavastromen uit 1777,"Versuvius seen from Portici with Lavastreams, 1777. 

Vesuvius gezien vanaf Portici met lavastromen uit 1777, 1771 en 1731, Louis Ducros, 1778.",1778,1778,Louis Ducros,1748-1810,Landscapes & Seascapes,"buildings,mountains,cityscapes,volcanoes",Vesuvius Portici
TWW0000009820,Rijksmuseum,NLD,Gezicht op eilanden Ischia en Procida,"View of the Islands Ischia and Procida. 

Number, handgeschreven: â€˜No 301 Vue des Ã®les d'Ischia et de Procicaâ€™.",1778,1778,Louis Ducros,1748-1810,Landscapes & Seascapes,"coasts,cliffs,hills",Gezicht Ischia Procida
TWW0000009821,Rijksmuseum,NLD,Gezicht op Monte Circello vanaf een grote weg voor aankomst in Terracina,"View of Monte Circello from the apporach to Terracina.

Number, handgeschreven: â€˜No 1 Vue de Monte-Circello, prise du grand chemin, avant d'arriver Ã  Terracinaâ€™.",1778,1778,Louis Ducros,1748-1810,Landscapes & Seascapes,"mountains,coasts,townscapes",Gezicht Monte Circello Terracina
TWW0000009822,Rijksmuseum,NLD,Gezicht op Arriano en monument,"View of Arriano and a Monument. 

Gezicht op Arriano en monument, zogenaamde altaar van Janus, Louis Ducros, 1778.",1778,1778,Louis Ducros,1748-1810,Landscapes & Seascapes,"cityscapes,ruins,monuments,people,religion,buildings,architecture",Gezicht Arriano
TWW0000009823,Rijksmuseum,NLD,Processie in de omgeving van Cerignola,"Procession in the surrounds of Cerignola. 

Processie in de omgeving van Cerignola, Louis Ducros, 1778.",1778,1778,Louis Ducros,1748-1810,People & Society,"landscapes,religion,ceremonies,plains,travel",Processie Cerignola
TWW0000009824,Rijksmuseum,NLD,Gezicht op Canosa brug over Ofanto rivier bij Puglia,"View of Canosa Bridge over the Ofanto River in Puglia. 

Tekening uit het album 'Voyage en Italie, en Sicile et Ã  Malte', 1778.",1778,1778,Louis Ducros,1748-1810,Landscapes & Seascapes,"bridges,rivers,ruins,people,travel,transport,horse-drawn,roads",Gezicht Canosa Ofanto Puglia
TWW0000009825,Rijksmuseum,NLD,Gezicht op de stad Canosa met kasteel en omgeving,"View of the town of Canosa with the Castle and Surrounds. 

Gezicht op de stad Canosa met kasteel en omgeving, Louis Ducros, 1778. Tekening uit het album 'Voyage en Italie, en Sicile et Ã  Malte', 1778.",1778,1778,Louis Ducros,1748-1810,Landscapes & Seascapes,"hills,castles,ruins,buildings,architecture,roads",Gezicht Canosa
TWW0000009826,Rijksmuseum,NLD,Panorama met vlakte bij Cannes gezien vanaf verhoging in landschap,"Panorama with plains by Cannes, seen from height. 

Tekening uit het album 'Voyage en Italie, en Sicile et Ã  Malte', 1778.",1778,1778,Louis Ducros,1748-1810,Landscapes & Seascapes,"rivers,valleys,roads",Panorama Cannes
TWW0000009827,Rijksmuseum,NLD,Haven van Barletta met schepen,"Harbor of Bartletta with Ships. 

Haven van Barletta met schepen, Louis Ducros, 1778. Tekening uit het album 'Voyage en Italie, en Sicile et Ã  Malte', 1778.",1778,1778,Louis Ducros,1748-1810,Landscapes & Seascapes,"ports,boats,ships,buildings",Haven Barletta
TWW0000009828,Rijksmuseum,NLD,Gezicht op Trani gelegen aan de kust,"View of Trani on the Coast. 

Gezicht op Trani gelegen aan de kust, Louis Ducros, 1778. Tekening uit het album 'Voyage en Italie, en Sicile et Ã  Malte', 1778. Links de Cattedrale di San Nicola Pellegrino.",1778,1778,Louis Ducros,1748-1810,Landscapes & Seascapes,"cityscapes,towers,buildings,architecture,coasts,ports,beaches,lighthouses",Gezicht Trani
TWW0000007155,McLean Museum and Art Gallery,ENG,Loch Linnhe,Watercolour painting on paper entitled 'Loch Linnhe' . Signed 'D.Y. Cameron Loch Linnhe' by the artist at the lower right. Undated.,1865,1945,David Young Cameron,1865-1945,Landscapes & Seascapes,"lakes,mountains",Loch Linnhe
TWW0000007157,McLean Museum and Art Gallery,ENG,A Country Cottage,Watercolour painting on paper entitled 'Country Cottage'. Signed 'E. Nevil' at the bottom right by the artist.,1801,1900,Edward Nevil,fl.1880-1900,Buildings & Architecture,"cottages,residential buildings,people,roads,horse-drawn",A Country Cottage
TWW0000007158,McLean Museum and Art Gallery,ENG,Rheims,Watercolour painting on paper entitled 'Rheims. Signed 'E. Nevil' at the lower left by the artist.,1801,1900,Edward Nevil,fl.1880-1900,Buildings & Architecture,"religious buildings,shops,people,roads,horse-drawn",Rheims
TWW0000007159,McLean Museum and Art Gallery,ENG,"Grey Day, Venice","Watercolour painting on paper entitled 'Grey Day, Venice'. Signed 'Emily M. Paterson R.S.W.' at the lower right by the artist.",1855,1934,Emily Murray Paterson,1855-1934,Buildings & Architecture,"ports,buildings,people,boats,ships","Grey Day, Venice"
TWW0000007160,McLean Museum and Art Gallery,ENG,"Venetian days, Sunday Morning","Watercolour painting on paper entitled 'Venetian Days, Sunday Morning'. Signed 'F. Hopkinson Smith' at the lower right by the artist. Undated.",1801,1900,Francis Hopkinson Smith,1838-1915,Buildings & Architecture,"towers,canals,buildings,people,boats",Venetian Sunday Morning
TWW0000007161,McLean Museum and Art Gallery,ENG,"Old Moorish Well, Alhambra","Watercolour painting on paper entitled 'Old Moorish Well, Alhambra'. Signed 'F. Hopkinson Smith' at the lower left and titled 'Old Moorish Well' at the lower right by the artist. Undated.",1801,1900,Francis Hopkinson Smith,1838-1915,Buildings & Architecture,"palaces,towers,markets,people","Old Moorish Well, Alhambra"
TWW0000007162,McLean Museum and Art Gallery,ENG,Greenock,"Aquatint print on paper with hand-colouring on paper entitled 'Greenock'. Printed inscription: 'Published in London : October 10th 1811 by F.J. Sarjent, 57 Upper John Street, Fitzroy Square. Successor to Mr F. Jukes.'.",1811,1811,Francis James Sarjent,fl.c.1780-1812,Buildings & Architecture,"cityscapes,religious buildings,factories,people,hills,ports,roads,horse-drawn",Greenock
TWW0000007163,McLean Museum and Art Gallery,ENG,"Custom House, Greenock from the East","Watercolour painting entitled 'Custom House, Greenock from the East'. Signed at 'G Glover' by the artist at the lower left and the mount inscribed on the lower right 'Custom House - Greenock - From the East'. Undated.",1801,1900,George Glover,fl.1842-1901,Buildings & Architecture,"government buildings,buildings,people","Custom House, Greenock East"
TWW0000007164,McLean Museum and Art Gallery,ENG,"The Custom House, Greenock","Watercolour painting on paper entitled 'The Custom House, Greenock'. Signed 'G. Glover' by the artist at the lower left.",1801,1900,George Glover,fl.1842-1901,Buildings & Architecture,"roads,horse-drawn,government buildings,people","The Custom House, Greenock"
TWW0000007165,McLean Museum and Art Gallery,ENG,"The Old Tontine Hotel, Cathcart Street, Greenock","Watercolour painting on paper entitled 'The Old Tontine Hotel, Cathcart Street, Greenock. Signed 'G. Glover' at the lower left by the artist and inscribed 'Tontine Hotel Cathcart Street 1893'.",1893,1893,George Glover,fl.1842-1901,Buildings & Architecture,"roads,buildings,shops,people","The Old Tontine Hotel, Cathcart Street, Greenock"
TWW0000007166,McLean Museum and Art Gallery,ENG,"Cardwell Bay, Gourock","Watercolour painting on paper entitled 'Cardwell Bay, Gourock'. Signed 'G. Glover' at the lower left by the artist. Undated.",1801,1900,George Glover,fl.1842-1901,Landscapes & Seascapes,"mountains,bays,boats,buildings","Cardwell Bay, Gourock"
TWW0000007167,McLean Museum and Art Gallery,ENG,"Old Mid Quay, Greenock","Watercolour painting on paper entitled 'Old Mid Quay, Greenock'. Signed 'Horatio Thomson' at the lower right by the artist. Undated.",1801,1900,Horatio Thomson,fl.1884-1906,Buildings & Architecture,"ports,religious buildings,buildings,ships,boats","Old Mid Quay, Greenock"
TWW0000007168,McLean Museum and Art Gallery,ENG,"A View on the Clyde from the High Road above Kilpatrick, Evening","Watercolour painting on paper entitled 'A View on the Clyde from the High Road above Kilpatrick, Evening'. Signed 'H. Williams 1794' at the lower right by the artist.",1794,1794,Hugh William Williams,1773-1829,Landscapes & Seascapes,"mountains,rivers,buildings,boats","A View Clyde High Road Kilpatrick, Evening"
TWW0000007477,MusÃ©e national de la Marine,ENG,La Recherche and l'Espérance,"Tall ships La Recherche and l'EspÃ©rance, under the command of Antoine Bruny d'Entrecasteaux (1737-1793). Between 1791 and 1793, they sailed from Brest (France) to the islands northwest of Australia. The intention of the voyage was to make scientific and geographic discoveries and also to look for the expedition led by Jean-FranÃ§ois de Galaup de La Perouse (1741-1788) which had gone missing in 1788.",1827,1827,Frédéric Roux,1805-1874,Landscapes & Seascapes,"boats,military,people,hills,coasts,events,transport,travel,trees,disasters",La Recherche
TWW0000007478,MusÃ©e national de la Marine,ENG,Le Bien-Aimé,"Depicts the ship of Louis Antoine, Count de Bougainville (1729-1811), Le Bien-aimÃ©, sailing in the year 1777.",1827,1827,Frédéric Roux,1805-1874,Landscapes & Seascapes,"boats,military,people,hills,coasts,events,transport,travel",Le Bien-Aimé
TWW0000007479,MusÃ©e national de la Marine,ENG,"Naked Men's Dance on Campbell Island, New Zealand",The artist Jacques Arago joined Louis de Freycinet as a drawer on his 1817 voyage around the world aboard the ship Uranie.,1817,1820,Jacques Arago,1790-1855,People & Society,festivals,"Naked Men's Dance Campbell Island, New Zealand"
TWW0000007480,MusÃ©e national de la Marine,ENG,"Dances Performed in Agana, called Dance of Ancients, Isle of Guam",,1779,1841,Louis Claude de Saulces de Freycinet,1779-1841,People & Society,festivals,"Dances Performed Agana, Dance Ancients, Isle Guam"
TWW0000007481,MusÃ©e national de la Marine,ENG,"Humata Harbour, Mariana Islands","Watercolour from 'Journey Around the World, 1817-1820', by Louis de Freycinet.",1779,1841,Louis Claude de Saulces de Freycinet,1779-1841,Landscapes & Seascapes,"forts,boats,trees,woods,hills,people,military,professions,travel,transport,residential buildings,buildings,bays,ports","Humata Harbour, Mariana Islands"
TWW0000007482,MusÃ©e national de la Marine,ENG,"Domestic Activities in Coupang, Timor Island",,1779,1841,Louis Claude de Saulces de Freycinet,1779-1841,People & Society,"buildings,birds,trees,food,mammals,agriculture,farms,leisure,professions,interiors,domestic life","Domestic Activities Coupang, Timor Island"
TWW0000007483,MusÃ©e national de la Marine,ENG,"King of Guebe Island's Boat, Pisang Island in Background","Watercolour from 'Journey Around the World, 1817-1820', by Louis de Freycinet.",1779,1841,Louis Claude de Saulces de Freycinet,1779-1841,Landscapes & Seascapes,"boats,people,social life,political leaders,transport,travel,islands,bays,seascapes,coasts,birds","King Guebe Island's Boat, Pisang Island Background"
TWW0000007484,MusÃ©e national de la Marine,ENG,"Catholic Baptism of Kalanimoku, the King of Hawaii's Prime Minister, on Board the French Ship Uranie",Detail of illustration from travel journal of Madame Rose de Saulces de Freycinet.,1819,1819,"Rose de Saulces de Freycinet ",1794-1832,People & Society,"events,politics,religion,political leaders,religious figures,boats,interiors,islands,seascapes,coasts,professions,military,travel","Catholic Baptism Kalanimoku, King Hawaii's Prime Minister, Board French Ship Uranie"
TWW0000007485,MusÃ©e national de la Marine,ENG,Nagasaki,City and roads with Dutch ships and Chinese and Japanese junk boats.,1701,1800,Unknown Artist,,Landscapes & Seascapes,"townscapes,boats,ports,coasts",Nagasaki
TWW0000007486,MusÃ©e national des chÃ¢teaux de Malmaison et Bois-PrÃ©au,ENG,View of the gardens of Château de Malmaison,The house and gardens of the ChÃ¢teau de Malmaison were owned by JosÃ©phine de Beauharnais and NapolÃ©on Bonaparte from 1799 until 1815. NapolÃ©on used the ChÃ¢teau as the headquarters of the French government from 1800 to 1802.,1810,1810,"Anton Ignaz Melling ",1763-1831,Landscapes & Seascapes,"parks,trees,people,social life,leisure,horse-drawn,mammals,transport,travel,woods,hills,birds,lakes,buildings,architecture,professions,waterfalls,aqueducts,boats,fields,agriculture,residential buildings,horses",View Château Malmaison
TWW0000007487,MusÃ©e national des chÃ¢teaux de Malmaison et Bois-PrÃ©au,ENG,"Cow stables in Saint Cucufat, at Château de Malmaison",,1785,1824,Auguste Garneray,1785-1824,Buildings & Architecture,"mammals,horses,people,leisure","Cow Saint Cucufat, Château Malmaison"
TWW0000007488,MusÃ©e national des chÃ¢teaux de Malmaison et Bois-PrÃ©au,ENG,Sheep stables in the woods on the edge of the park of Château de Malmaison,,1785,1824,Auguste Garneray,1785-1824,Buildings & Architecture,"agriculture,gardens,parks",Sheep Château Malmaison
TWW0000007489,MusÃ©e des Beaux-Arts et Orbigny,ENG,Tour de la Chaîne et barques de pêche,Tour de la ChaÃ®ne and fishing boats.,1888,1888,Albert Tibule Furcy De Lavault,fl.1888,Buildings & Architecture,"fishing,boats,towers,ports,coasts",Tour Chaîne
TWW0000007490,MusÃ©e des Beaux-Arts et Orbigny,ENG,Défilé: Combat de Grecs et de Turcs,Parade: Combat between Greeks and Turks.,1803,1860,Alexandre-Gabriel Decamps,1803-1860,People & Society,"battles,war,people,weapons,valleys,mammals,horses",Défilé: Combat Grecs Turcs
TWW0000000659,Ashmolean Museum,ENG,Prospect of the Bay of Tangier from the south-east,,1607,1677,Wenceslaus Hollar,1607-1677,Landscapes & Seascapes,"bays,ships,ports,castles,townscapes",Prospect Bay Tangier
TWW0000000660,Ashmolean Museum,ENG,The Fou-yen of Canton,,1767,1816,William Alexander,1767-1816,People & Society,"portraits,domestic life,food",The Fou-yen Canton
TWW0000000661,Ashmolean Museum,ENG,Keats' Grave in the Old Protestant Cemetery in Rome,"John keats (1795-1821), British poet; Pyramid of Gaius Cestuis.",1873,1873,William Bell Scott,1811-1890,Buildings & Architecture,"monuments,tombs,historical figures,arts,architecture",Keats' Grave Old Protestant Cemetery Rome
TWW0000000662,Ashmolean Museum,ENG,"The Sleeping City: the Cemetery of Pera, Constantinople",,1856,1856,William Holman Hunt,1827-1910,Buildings & Architecture,"monuments,forests,tombs,death","The Sleeping City: Cemetery Pera, Constantinople"
TWW0000000663,Ashmolean Museum,ENG,Iffley Mill,,1789,1862,William Turner  of Oxford,1789-1862,Landscapes & Seascapes,"mills,rivers,streams,cottages",Iffley Mill
TWW0000000664,Ashmolean Museum,ENG,View of Oxford from Headington,,1789,1862,William Turner  of Oxford,1789-1862,Landscapes & Seascapes,"townscapes,fields,religious buildings,cows,sheep,educational buildings",View Oxford Headington
TWW0000000665,Ashmolean Museum,ENG,Stonehenge - A Showery Day,,1789,1862,William Turner  of Oxford,1789-1862,Landscapes & Seascapes,"monuments,ruins,storms,sheep",Stonehenge - A Showery Day
TWW0000000666,Ashmolean Museum,ENG,View of Oxford from the River,,1789,1862,William Turner  of Oxford,1789-1862,Buildings & Architecture,"bridges,people,cityscapes,rivers,trees,cows,religious buildings,educational buildings",View Oxford River
TWW0000000667,Ashmolean Museum,ENG,Stonehenge: Stormy Day,,1846,1846,William Turner of Oxford,1789-1862,Landscapes & Seascapes,"monuments,ruins,storms,sheep",Stonehenge: Stormy Day
TWW0000000669,Auckland War Memorial Museum,ENG,At Mercer on the Waikato,,1875,1875,Alfred Sharpe,1836-1908,Landscapes & Seascapes,"mountains,rivers,buildings,religious buildings",At Mercer Waikato
TWW0000000670,Auckland War Memorial Museum,ENG,Albany School house,,1897,1897,Alice McArthur,1875-1943,Buildings & Architecture,"educational buildings,buildings,trees",Albany School
TWW0000000671,Auckland War Memorial Museum,ENG,"View of lower wharf and homestead, Lucas Creek, from Albany Bridge",,1897,1897,Alice McArthur,1875-1943,Travel & Transport,"rivers,boats,horse-drawn,people,buildings,transport","View Lucas Creek, Albany Bridge"
